id	title	description	category	weight	defaultQuantity	stackSize	isContainer	isStorable	isEquippable	isConsumable	inventoryWidth	inventoryHeight	image	actionIds	assetFilename
2b59037b-5912-44a2-a11c-fb33f7552b7e	Basic Maintenance Tools	Required for proper long-rest servicing of Forged chassis.	gear	0	1	1	false	true	false	false	1	1			
03fbbaca-c332-479a-9276-fce0d8a8840f	Reinforced Limb Module	Grants stronger unarmed strikes and athletics leverage. Raise unarmed die to 1d6.	augmentation	0	1	1	false	true	true	false	1	1			
5ec4ba4a-dcf4-4c5c-b862-221bab936b4a	Optical Suite Module	Grants darkvision 60ft and protection against surprise.	augmentation	0	1	1	false	true	true	false	1	1			
b7a4c075-ca70-4acc-aef3-921ff9defe2f	Vox Modulator Module	Grants precision vocal mimic capability and Vox Mimic card.	augmentation	0	1	1	false	true	true	false	1	1			
42415c6f-2376-40c1-9f54-b459f8cdb75a	Subdermal Plating Module	Grants natural AC 13 baseline while unarmored.	augmentation	0	1	1	false	true	true	false	1	1			
0c2e1ffe-4d91-4174-85f9-af53d6877c0a	Neural Accelerator Module	Grants bonus-action Ready capability cadence.	augmentation	0	1	1	false	true	true	false	1	1			
0b772617-d627-47a6-92f8-8568589181fe	Intake Filter Module	Grants poison and disease defense package.	augmentation	0	1	1	false	true	true	false	1	1			
1228c874-69d7-4299-9681-0966db7fa452	Hydraulic Frame Module	Doubles carry capacity and improves grapple profile.	augmentation	0	1	1	false	true	true	false	1	1			
6345d6fe-56c0-4973-ad27-e49e9593dab9	Resonant Blade	Primary class weapon: long or short configuration.	weapon	0	1	1	false	true	true	false	2	1			
675001d9-e33a-4375-8357-6b9988d5a89b	Voidsteel Tanto	Secondary blade; dark resonant metal.	weapon	0	1	1	false	true	true	false	1	1			
9db8b6ca-43b2-422f-bd70-f8d87ea91b94	Circuit Lance	Class-proficient polearm variant with resonant tip.	weapon	0	1	1	false	true	true	false	2	2			
ffd0b129-e7e3-493d-bcc1-a8746269fb31	Iron-Whip	Flexible resonant weapon option; reach and Bleed potential.	weapon	0	1	1	false	true	true	false	2	1			
a1c612a9-d99f-425e-a3b3-c4edb4666415	Force Mace	Class-proficient impact weapon.	weapon	0	1	1	false	true	true	false	1	2			
d85b67b2-05c5-4643-887f-932615bfa368	Wire-Mesh Armor	Starter light armor option; wire-silk composite.	armor	0	1	1	false	true	true	false	2	2			
9728c6dc-25e5-4676-9d0b-0c4d7bb30f72	Layered Plate Armor	Heavy starter armor option.	armor	0	1	1	false	true	true	false	2	3			
a87e176f-b2d3-41d7-9d6e-4b71d4d2edae	Resonant Shield	Class-proficient shield.	armor	0	1	1	false	true	true	false	2	2			
b7e54961-0b2d-4caa-a4a5-bf1eeed9372a	Lord's Seal	Oath marker object for Ironclad Iron Lord path; narrative and social checks.	symbol	0	1	1	false	true	true	false	1	1			
5f203a3e-ab8f-4105-8629-bca8b729952b	Sutra Medallion	Oath marker object for Ironclad Sutensai Blade path; narrative and social checks.	symbol	0	1	1	false	true	true	false	1	1			
606ada02-fb39-4490-b8cc-a129bce10f09	Forge Maintenance Kit Basic	Required for resonance meditation and field upkeep.	gear	0	1	1	false	true	false	false	1	1			
754bb54f-26f8-4860-bfd5-1c7221d9de0e	Trade-Metal Pouch 15	Starting currency bundle equivalent.	currency	0	1	1	false	true	false	false	1	1			
9e5095e8-bc2a-4e3a-b29f-9d4407bf9778	The Unnamed Fragment	A resonant metal shard of impossible age containing the first Echomind resonance. Grants sensory ability and immunity to deception; bearer's memories blur with accumulated impressions.	artifact	0	1	1	false	true	false	false	1	1			
4d627df0-aff2-4076-8f1c-0825ab7b01c5	The Teaching Hand	A resonant gauntlet holding sixty years of teaching knowledge. Enhances instruction and protects students; requires demonstrated teaching experience to activate.	artifact	0	1	1	false	true	false	false	2	1			
36ba62fa-e54b-415d-b9c1-fc4412f8f1f1	Weeper's Remnant	A necklace of seven dark resonant beads forged from a god's grief. Bearer perceives emotional truth and channels healing tears; carries constant weight of others' suffering.	artifact	0	1	1	false	true	false	false	1	1			
a01027d5-da75-4f35-9749-9aa5d7943f6a	The Patience Dial	A perfect disk rotating once every four hundred years. Bearer gains defensive precision and temporal immunity; loses sense of urgency.	artifact	0	1	1	false	true	false	false	1	1			
c371e38b-666e-48b7-b9b9-b7d8f2d7e06c	The Broken Crown	Seven shards of a shattered resonant amplifying crown. Bearer senses loyalty states and can issue compelling commands; carries the grief of command's weight.	artifact	0	1	1	false	true	false	false	1	1			
1c3a9767-a39f-4932-8f87-ad9944ac9342	The Last Thirty Seconds	A sealed cylinder containing an incomprehensible speech. Bearer gains truth-speaking authority and message broadcast capability; becomes increasingly unable to speak indirectly.	artifact	0	1	1	false	true	false	false	1	1			
bf63ea6c-f83c-43b9-88d8-f18450584b17	The First Tooth (Korrath)	A curved resonant blade with twenty-three names etched in the hilt. Provides combat memory and blade recognition; bearer hears voices of the dead.	relic	0	1	1	false	true	false	false	2	2			
1232f034-5b4d-4b14-98ef-1ec588a322e6	The Salvage Manifesto (Korrath)	Fourteen handwritten pages of military doctrine and logistics strategy. Grants tactical analysis and force multiplication; only effective for commanders with genuine loss.	document	0	1	1	false	true	false	false	1	1			
be9ac016-9255-4e5e-8bba-0129aeeb7173	The Last Flesh (Korrath)	A sealed container of preserved biological tissue; the only anchor preventing Korrath's Ascension. Cannot be integrated; treat with extreme care.	relic	0	1	1	false	true	false	false	1	1			
380a4855-c882-4a3d-aa1c-187b1ac5663b	The First Removal (Vaen)	An extracted cybernetic auditory enhancement. Grants enhanced perception of intentions and clarity against control effects; bearer loses ability to ignore pain.	relic	0	1	1	false	true	false	false	1	1			
d95a933c-914c-4549-8106-8044badb621f	The Unsent Letter (Vaen)	A handwritten letter to a dead woman containing unfiltered fear and doubt. Bearer gains insight into hidden motivations; carries awareness of all costs of their actions.	document	0	1	1	false	true	false	false	1	1			
fd180ac4-a976-406e-ae57-f7f551f782d9	The Control Sigil (Hollow Author)	A dark metal disk detecting puppet bodies under remote influence. Grants puppet detection and temporary disruption; prolonged use alerts the Author to location.	tool	0	1	1	false	true	false	false	1	1			
ab9d809e-9c33-4cd7-a372-37ecb146f77b	The Freed Shell (Hollow Author)	A humanoid puppet body freed from Author control, developing independent consciousness. Functional NPC companion capable of self-directed growth.	gear	0	1	1	false	true	false	false	2	3			
8a6717b2-023d-40b4-8f90-05a28c282754	The Original Face (Hollow Author)	A resonant mask worn by the Author before transformation. Grants Author pattern recognition and access to original identity memories; bearer experiences grief of transformation.	artifact	0	1	1	false	true	false	false	1	1			
57fc7330-c538-435e-a687-da9b8d68d369	Widow's Architecture	Full forearm replacement with three concealed blades. Provides Pierce attacks and additional strikes; requires forearm amputation.	augmentation	0	1	1	false	true	true	false	2	2			
57caff10-a576-4d0f-811f-1559354be765	The Convergence Engine	Shoulder/arm replacement with pulse-arm discharge. Provides ranged force attacks and overcharge capability; requires doubled food consumption.	augmentation	0	1	1	false	true	true	false	2	2			
957c3464-a3f8-49bf-b907-27285980eae9	Hollow Strike Array	Full leg replacement (both legs) with silent operation and strike surfaces. Extended movement and kinetic conversion; requires hip socket modification.	augmentation	0	1	1	false	true	true	false	2	3			
8ae78cdb-3303-4ce8-a996-fa85e5188eed	The Patient Eye	Single eye optical system with predictive analysis. Provides guaranteed ranged hit and motion prediction; contains locked surveillance footage from previous user.	augmentation	0	1	1	false	true	true	false	1	1			
6404ce36-3a17-4216-bda5-93197d421a10	Threadwalker Interface	Spinal neural enhancement for direct Wire Craft network interface. Grants network immersion and signal reading; high-risk cervical modification.	augmentation	0	1	1	false	true	true	false	1	2			
78ad5648-3b5b-46c9-8322-ad6699552a39	Cartographer's Sense	Distributed proprioceptive system in hands, feet, and skull. Grants perfect position awareness and environmental mapping; prevents becoming lost.	augmentation	0	1	1	false	true	true	false	1	1			
e4e15f05-0e7e-487e-b892-122656fb26c4	The Between-Sense	Echomind resonator at base of skull. Grants Iron Afterlife interaction and communication with recent dead; bearer senses nearby death constantly.	augmentation	0	1	1	false	true	true	false	1	1			
1b259519-8e3a-4bb8-bab9-d0f72cbf5acf	Afterlife Anchor	Resonant heart casing providing Echomind anchoring. Prevents possession and soul displacement; reduces Afterlife perception depth.	augmentation	0	1	1	false	true	true	false	1	1			
de486309-e4a3-4cc0-a0b7-5b62571bc044	The Listening Wire	Wire-silk filaments through cervical spine with sensor nodes. Grants spiritual perception and object history reading; requires Iron Sutra installation ritual.	augmentation	0	1	1	false	true	true	false	1	2			
076d1fe6-5195-4bbc-8a3d-9723ad0a26b7	The Second Voice	Vocal system enhancement providing harmonic control. Grants emotional resonance manipulation and structural sound generation; bearer speaks unguarded truths in sleep.	augmentation	0	1	1	false	true	true	false	1	1			
60ad4482-dae4-48d4-8c38-e979c50c3477	Ashfire Knuckles	Hand replacement with Engine Scar contamination. Provides fire damage and enhancement disruption; bearer experiences constant heat and contamination accumulation.	augmentation	0	1	1	false	true	true	false	2	1			
